"","sequence.sequenceID","alignment.name","alignment.displayName","sequence.m49_country.id","sequence.m49_country.display_name","sequence.gb_place_sampled","sequence.collection_year","sequence.earliest_collection_year","sequence.latest_collection_year","sequence.gb_length","sequence.gb_create_date","sequence.gb_update_date","sequence.host","sequence.gb_pubmed_id","sequence.isolate"
"RV/R1.PHL/2009/TRa-219.256","AB683606","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R1, Pangasinan","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-219"
"RV/R1.PHL/2009/TRa-220.204","AB563990","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-220"
"RV/R1.PHL/2009/TRa-220.257","AB683607","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R1, Pangasinan","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-220"
"RV/R1.PHL/2009/TRa-221.205","AB563991","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-221"
"RV/R1.PHL/2009/TRa-221.258","AB683608","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","R1, Pangasinan","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-221"
"RV/R1.PHL/2009/TRa-233","AB563999","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Ilocos Sur","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-233"
"RV/R1.PHL/2009/TRa-256","AB733964","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-256"
"RV/R1.PHL/2009/TRa-257","AB733965","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-257"
"RV/R1.PHL/2009/TRa-258","AB733966","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-258"
"RV/R1.PHL/2009/TRa-259","AB733967","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-259"
"RV/R1.PHL/2009/TRa-260","AB733968","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-260"
"RV/R1.PHL/2009/TRa-262","AB771911","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Regoin 1,Pangasinan","2009","2009",2009,698,"29-May-13","29-May-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-262"
"RV/R1.PHL/2009/TRa-263","AB733969","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-263"
"RV/R1.PHL/2009/TRa-265","AB733970","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Ilocos Sur","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-265"
"RV/R1.PHL/2009/TRa-266","AB771912","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Regoin 1,Pangasinan","2009","2009",2009,698,"29-May-13","29-May-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-266"
"RV/R1.PHL/2009/TRa-267","AB771913","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Regoin 1,Pangasinan","2009","2009",2009,698,"29-May-13","29-May-13","Canis lupus familiaris","23593515","RV/R1.PHL/2009/TRa-267"
"RV/R1.PHL/2010/TRa-286","AB733971","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Ilocos Sur","2010","2010",2010,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2010/TRa-286"
"RV/R1.PHL/2010/TRa-287","AB771914","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Regoin 1, Ilocos Sur","2010","2010",2010,698,"29-May-13","29-May-13","Canis lupus familiaris","23593515","RV/R1.PHL/2010/TRa-287"
"RV/R1.PHL/2010/TRa-298","AB771915","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Regoin 1,Pangasinan","2010","2010",2010,698,"29-May-13","29-May-13","Canis lupus familiaris","23593515","RV/R1.PHL/2010/TRa-298"
"RV/R1.PHL/2010/TRa-299.316","AB733972","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2010","2010",2010,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2010/TRa-299"
"RV/R1.PHL/2010/TRa-299.479","LC018592","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Pangasinan","2010","2010",2010,894,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2010/TRa-299"
"RV/R1.PHL/2010/TRa-300","AB733973","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region1, Pangasinan","2010","2010",2010,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R1.PHL/2010/TRa-300"
"RV/R1.PHL/2012/TRa-320","LC018497","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Pangasinan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2012/TRa-320"
"RV/R1.PHL/2012/TRa-323","LC018498","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Pangasinan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2012/TRa-323"
"RV/R1.PHL/2012/TRa-324","LC018499","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Pangasinan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2012/TRa-324"
"RV/R1.PHL/2012/TRa-325","LC018500","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Pangasinan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2012/TRa-325"
"RV/R1.PHL/2012/TRa-327","LC018501","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Pangasinan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2012/TRa-327"
"RV/R1.PHL/2012/TRa-375","LC018526","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Pangasinan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2012/TRa-375"
"RV/R1.PHL/2012/TRa-376","LC018527","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Pangasinan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2012/TRa-376"
"RV/R1.PHL/2012/TRa-377","LC018528","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Pangasinan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2012/TRa-377"
"RV/R1.PHL/2012/TRa-378","LC018529","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Pangasinan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2012/TRa-378"
"RV/R1.PHL/2012/TRa-379","LC018530","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Pangasinan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2012/TRa-379"
"RV/R1.PHL/2012/TRa-381","LC018531","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Pangasinan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2012/TRa-381"
"RV/R1.PHL/2012/TRa-382","LC018532","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, La Union","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2012/TRa-382"
"RV/R1.PHL/2012/TRa-383","LC018533","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Pangasinan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2012/TRa-383"
"RV/R1.PHL/2012/TRa-384","LC018534","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Pangasinan","2012","2012",2012,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2012/TRa-384"
"RV/R1.PHL/2013/TRa-406","LC018546","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","I, Ilocos Sur","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R1.PHL/2013/TRa-406"
"RV/R1.PHL/2013/TRa-569","LC068940","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region I, Ilocos Sur","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R1.PHL/2013/TRa-569"
"RV/R1.PHL/2013/TRa-572","LC068942","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region I, La Union","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R1.PHL/2013/TRa-572"
"RV/R1.PHL/2013/TRa-573","LC068943","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region I, La Union","2013","2013",2013,1575,"13-Jul-18","13-Jul-18","Canis lupus familiaris","-","RV/R1.PHL/2013/TRa-573"
"RV/R10.PHL/2008/TRa-014","AB563845","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-014"
"RV/R10.PHL/2008/TRa-024.66","AB563852","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-024"
"RV/R10.PHL/2008/TRa-024.259","AB683609","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 10, Misamis Oriental","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-024"
"RV/R10.PHL/2008/TRa-025","AB563853","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-025"
"RV/R10.PHL/2008/TRa-026","AB563854","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-026"
"RV/R10.PHL/2008/TRa-027","AB563855","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-027"
"RV/R10.PHL/2008/TRa-028","AB563856","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-028"
"RV/R10.PHL/2008/TRa-030","AB563857","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-030"
"RV/R10.PHL/2008/TRa-052","AB563871","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-052"
"RV/R10.PHL/2008/TRa-053","AB563872","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-053"
"RV/R10.PHL/2008/TRa-054","AB563873","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Lanao del Norte","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-054"
"RV/R10.PHL/2008/TRa-055.88","AB563874","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-055"
"RV/R10.PHL/2008/TRa-055.260","AB683610","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 10, Misamis Oriental","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-055"
"RV/R10.PHL/2008/TRa-056","AB563875","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-056"
"RV/R10.PHL/2008/TRa-057","AB563876","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-057"
"RV/R10.PHL/2008/TRa-058.91","AB563877","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 10, Misamis Oriental","2008","2008",2008,769,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-058"
"RV/R10.PHL/2008/TRa-058.261","AB683611","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 10, Misamis Oriental","2008","2008",2008,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-058"
"RV/R10.PHL/2008/TRa-104.133","AB563919","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-104"
"RV/R10.PHL/2008/TRa-104.262","AB683612","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 10, Misamis Oriental","2008","2008",2008,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-104"
"RV/R10.PHL/2008/TRa-107.134","AB563920","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-107"
"RV/R10.PHL/2008/TRa-107.263","AB683613","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 10, Misamis Oriental","2008","2008",2008,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-107"
"RV/R10.PHL/2008/TRa-108","AB563921","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2008/TRa-108"
"RV/R10.PHL/2009/TRa-109.136","AB563922","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-109"
"RV/R10.PHL/2009/TRa-109.264","AB683614","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 10, Misamis Oriental","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-109"
"RV/R10.PHL/2009/TRa-110","AB563923","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-110"
"RV/R10.PHL/2009/TRa-184","AB683589","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-184"
"RV/R10.PHL/2009/TRa-186.240","AB683590","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-186"
"RV/R10.PHL/2009/TRa-186.297","AB683647","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 10, Misamis Oriental","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-186"
"RV/R10.PHL/2009/TRa-189","AB683591","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-189"
"RV/R10.PHL/2009/TRa-191.184","AB563970","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-191"
"RV/R10.PHL/2009/TRa-191.265","AB683615","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 10, Misamis Oriental","2009","2009",2009,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-191"
"RV/R10.PHL/2009/TRa-194.298","AB683648","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 10, Misamis Oriental","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-194"
"RV/R10.PHL/2009/TRa-194.334","AB771918","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Regoin 10, Misamis Orientale","2009","2009",2009,698,"29-May-13","29-May-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-194"
"RV/R10.PHL/2009/TRa-195.299","AB683649","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 10, Misamis Oriental","2009","2009",2009,1124,"03-Apr-13","29-May-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-195"
"RV/R10.PHL/2009/TRa-195.335","AB771919","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Regoin 10, Misamis Orientale","2009","2009",2009,698,"29-May-13","29-May-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-195"
"RV/R10.PHL/2009/TRa-196","AB563971","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-196"
"RV/R10.PHL/2009/TRa-197","AB563972","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-197"
"RV/R10.PHL/2009/TRa-242","AB564008","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-242"
"RV/R10.PHL/2009/TRa-243","AB564009","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-243"
"RV/R10.PHL/2009/TRa-244","AB564010","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-244"
"RV/R10.PHL/2009/TRa-246","AB564011","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-246"
"RV/R10.PHL/2009/TRa-247","AB771920","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Regoin 10, Misamis Orientale","2009","2009",2009,698,"29-May-13","29-May-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-247"
"RV/R10.PHL/2009/TRa-248","AB564012","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2008","2008",2008,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-248"
"RV/R10.PHL/2009/TRa-249","AB564013","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-249"
"RV/R10.PHL/2009/TRa-250","AB564014","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-250"
"RV/R10.PHL/2009/TRa-251","AB564015","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Lanao del Norte","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-251"
"RV/R10.PHL/2009/TRa-252","AB564016","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-252"
"RV/R10.PHL/2009/TRa-253","AB564017","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-253"
"RV/R10.PHL/2009/TRa-254","AB564018","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-254"
"RV/R10.PHL/2009/TRa-255","AB564019","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region10, Misamis Oriental","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R10.PHL/2009/TRa-255"
"RV/R11.PHL/2005/Z-05-186","AB563807","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region11, Davao del Sur","2005","2005",2005,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R11.PHL/2005/Z-05-186"
"RV/R2.PHL/2009/TRa-142.160","AB563946","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region2, Cagayan","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R2.PHL/2009/TRa-142"
"RV/R2.PHL/2009/TRa-142.266","AB683616","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region 2, Cagayan","2009","2009",2009,1124,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R2.PHL/2009/TRa-142"
"RV/R2.PHL/2009/TRa-279","AB733974","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region2, Isabela City","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R2.PHL/2009/TRa-279"
"RV/R2.PHL/2009/TRa-283","AB733975","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region2, Isabela City","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R2.PHL/2009/TRa-283"
"RV/R2.PHL/2009/TRa-284","AB733976","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region2, Isabela City","2009","2009",2009,1575,"03-Apr-13","25-Jun-13","Canis lupus familiaris","23593515","RV/R2.PHL/2009/TRa-284"
"RV/R2.PHL/2013/TRa-435","LC018555","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","II, Cagayan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R2.PHL/2013/TRa-435"
"RV/R2.PHL/2013/TRa-437","LC018556","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","II, Nueva Vizcaya","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R2.PHL/2013/TRa-437"
"RV/R2.PHL/2013/TRa-439","LC018557","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","II, Cagayan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R2.PHL/2013/TRa-439"
"RV/R2.PHL/2013/TRa-503","LC018587","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","II, Nueva Vizcaya","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R2.PHL/2013/TRa-503"
"RV/R2.PHL/2013/TRa-504","LC018588","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","II, Nueva Vizcaya","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R2.PHL/2013/TRa-504"
"RV/R2.PHL/2013/TRa-505","LC018589","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","II, Isabela","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R2.PHL/2013/TRa-505"
"RV/R2.PHL/2013/TRa-506","LC018590","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","II, Cagayan","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R2.PHL/2013/TRa-506"
"RV/R2.PHL/2013/TRa-507","LC018591","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","CAR, Kalinga Apayao","2013","2013",2013,1575,"22-Dec-15","22-Dec-15","Canis lupus familiaris","26656835","RV/R2.PHL/2013/TRa-507"
"RV/R3.PHL/2004/Z-04-519","AB563798","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Aurora","2004","2004",2004,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2004/Z-04-519"
"RV/R3.PHL/2005/Z-05-198.23","AB563809","AL_Asian_SEA4","Asian SEA4","PHL","Philippines","Region3, Nueva Ecija","2005","2005",2005,1575,"03-Apr-13","30-Jul-13","Canis lupus familiaris","23593515","RV/R3.PHL/2005/Z-05-198"
