sequence.sequenceID,alignment.displayName,sequence.m49_country.display_name,sequence.collection_year,sequence.earliest_collection_year,brgy,place,province,region,,latitude,longitude,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,sequence.isolate,seq
LC018500,Asian SEA4,Philippines,2012,2012,,Alaminos,Pangasinan,Ilocos Region,Region I,14.04459696,121.2475488,12/03/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2012/TRa-325,RV/R1.PHL/2012/TRa-325
LC018501,Asian SEA4,Philippines,2012,2012,,Mangatarem,Pangasinan,Ilocos Region,Region I,,,10/04/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2012/TRa-327,RV/R1.PHL/2012/TRa-327
LC018526,Asian SEA4,Philippines,2012,2012,,San Carlos City,Pangasinan,Ilocos Region,Region I,,,08/05/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2012/TRa-375,RV/R1.PHL/2012/TRa-375
LC018527,Asian SEA4,Philippines,2012,2012,,Alcala,Pangasinan,Ilocos Region,Region I,,,08/05/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2012/TRa-376,RV/R1.PHL/2012/TRa-376
LC018528,Asian SEA4,Philippines,2012,2012,,Santa Barabara,Pangasinan,Ilocos Region,Region I,,,15/05/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2012/TRa-377,RV/R1.PHL/2012/TRa-377
LC018529,Asian SEA4,Philippines,2012,2012,,Santa Barabara,Pangasinan,Ilocos Region,Region I,,,29/05/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2012/TRa-378,RV/R1.PHL/2012/TRa-378
LC018530,Asian SEA4,Philippines,2012,2012,,San Jacinto,Pangasinan,Ilocos Region,Region I,,,07/06/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2012/TRa-379,RV/R1.PHL/2012/TRa-379
LC018531,Asian SEA4,Philippines,2012,2012,,Manaoag,Pangasinan,Ilocos Region,Region I,,,13/06/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2012/TRa-381,RV/R1.PHL/2012/TRa-381
LC018532,Asian SEA4,Philippines,2012,2012,,Aringay,La Union,Ilocos Region,Region I,,,05/11/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2012/TRa-382,RV/R1.PHL/2012/TRa-382
LC018533,Asian SEA4,Philippines,2012,2012,,Sual,Pangasinan,Ilocos Region,Region I,,,14/11/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2012/TRa-383,RV/R1.PHL/2012/TRa-383
LC018534,Asian SEA4,Philippines,2012,2012,,San Jacinto,Pangasinan,Ilocos Region,Region I,,,19/12/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2012/TRa-384,RV/R1.PHL/2012/TRa-384
LC018546,Asian SEA4,Philippines,2013,2013,,Santa Cruz,IlocosSur,Ilocos Region,Region I,,,14/04/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R1.PHL/2013/TRa-406,RV/R1.PHL/2013/TRa-406
LC068932,Asian SEA4,Philippines,2013,2013,,,Bulacan,Ilocos Region,Region I,,,05/10/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R3.PHL/2013/TRa-548,RV/R3.PHL/2013/TRa-548
LC068940,Asian SEA4,Philippines,2013,2013,,,IlocosSur,Ilocos Region,Region I,,,06/11/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R1.PHL/2013/TRa-569,RV/R1.PHL/2013/TRa-569
LC068942,Asian SEA4,Philippines,2013,2013,,,La Union,Ilocos Region,Region I,,,08/11/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R1.PHL/2013/TRa-572,RV/R1.PHL/2013/TRa-572
LC068943,Asian SEA4,Philippines,2013,2013,,,La Union,Ilocos Region,Region I,,,09/11/2013,1575,13-Jul-18,13-Jul-18,Canis lupus familiaris,-,RV/R1.PHL/2013/TRa-573,RV/R1.PHL/2013/TRa-573
MN726857,Asian SEA4,Philippines,2016,2016,,"Torac, Malay",Pangasinan,Ilocos Region,Region I,,,21/07/2016,11553,25-Dec-19,25-Dec-19,Canis lupus familiaris,-,RADDL1-16-154,RADDL1-16-154
R1-21-148,Asian SEA4,Philippines,,,Malibong,Urbiztondo,Pangasinan,Ilocos Region,Region I,15.82353439,120.3636915,10/04/2021,11872,,,Canis familiaris,,R1-21-148,R1-21-148
RADDL1-16-153,Asian SEA4,Philippines,,,Real,Urbiztondo,Pangasinan,Ilocos Region,Region I,15.82353439,120.3636915,18/07/2016,11872,,,Canis familiaris,,RADDL1-16-153,RADDL1-16-153
RADDL1-16-166,Asian SEA4,Philippines,,,West,Pabling,Pangasinan,Ilocos Region,Region I,,,09/08/2016,11872,,,Canis familiaris,,RADDL1-16-166,RADDL1-16-166
AB683616,Asian SEA4,Philippines,2009,2009,,,Cagayan,Cagayan Valley,Region II,,,26/02/2009,1124,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R2.PHL/2009/TRa-142,RV/R2.PHL/2009/TRa-142
AB733974,Asian SEA4,Philippines,2009,2009,,San Mateo,Isabela City,Cagayan Valley,Region II,,,03/07/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R2.PHL/2009/TRa-279,RV/R2.PHL/2009/TRa-279
AB733975,Asian SEA4,Philippines,2009,2009,,Santiago City,Isabela City,Cagayan Valley,Region II,,,25/11/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R2.PHL/2009/TRa-283,RV/R2.PHL/2009/TRa-283
AB733976,Asian SEA4,Philippines,2009,2009,,San Agustin,Isabela,Cagayan Valley,Region II,,,25/11/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R2.PHL/2009/TRa-284,RV/R2.PHL/2009/TRa-284
LC018555,Asian SEA4,Philippines,2013,2013,,Piat,Cagayan,Cagayan Valley,Region II,,,02/05/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R2.PHL/2013/TRa-435,RV/R2.PHL/2013/TRa-435
LC018556,Asian SEA4,Philippines,2013,2013,,Bayombong,Nueva Vizcaya,Cagayan Valley,Region II,,,15/05/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R2.PHL/2013/TRa-437,RV/R2.PHL/2013/TRa-437
LC018557,Asian SEA4,Philippines,2013,2013,,Lasam,Cagayan,Cagayan Valley,Region II,,,17/05/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R2.PHL/2013/TRa-439,RV/R2.PHL/2013/TRa-439
LC018587,Asian SEA4,Philippines,2013,2013,,Kasilbu,Nueva Vizcaya,Cagayan Valley,Region II,,,05/07/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R2.PHL/2013/TRa-503,RV/R2.PHL/2013/TRa-503
LC018588,Asian SEA4,Philippines,2013,2013,,Bagabag,Nueva Vizcaya,Cagayan Valley,Region II,,,30/07/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R2.PHL/2013/TRa-504,RV/R2.PHL/2013/TRa-504
LC018589,Asian SEA4,Philippines,2013,2013,,San Mateo,Isabela City,Cagayan Valley,Region II,,,08/08/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R2.PHL/2013/TRa-505,RV/R2.PHL/2013/TRa-505
LC018590,Asian SEA4,Philippines,2013,2013,,Peñablanca,Cagayan,Cagayan Valley,Region II,,,17/09/2013,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R2.PHL/2013/TRa-506,RV/R2.PHL/2013/TRa-506
R2-081,Asian SEA4,Philippines,,,Ugac Norte,Tuguegarao  ,Cagayan,Cagayan Valley,Region II,17.60612446,121.7593619,31/08/2020,11872,,,Canis familiaris,,R2-081,R2-081
AB563798,Asian SEA4,Philippines,2004,2004,,Baler,Aurora,Central Luzon,Region III,,,18/09/2004,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2004/Z-04-519,RV/R3.PHL/2004/Z-04-519
AB563809,Asian SEA4,Philippines,2005,2005,,Palayan,Nueva Ecija,Central Luzon,Region III,,,13/04/2005,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2005/Z-05-198,RV/R3.PHL/2005/Z-05-198
AB563817,Asian SEA4,Philippines,2005,2005,,Norzagaray,Bulacan,Central Luzon,Region III,,,27/10/2005,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2005/Z-05-507,RV/R3.PHL/2005/Z-05-507
AB563838,Asian SEA4,Philippines,2008,2008,,San Simon,Pampanga,Central Luzon,Region III,,,12/06/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-002,RV/R3.PHL/2008/TRa-002
AB563840,Asian SEA4,Philippines,2008,2008,,Minalin,Pampanga,Central Luzon,Region III,,,19/06/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-006,RV/R3.PHL/2008/TRa-006
AB563841,Asian SEA4,Philippines,2008,2008,,Lupao,Nueva Ecija,Central Luzon,Region III,,,24/06/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-009,RV/R3.PHL/2008/TRa-009
AB563842,Asian SEA4,Philippines,2008,2008,,Santa Ana,Pampanga,Central Luzon,Region III,,,30/06/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-010,RV/R3.PHL/2008/TRa-010
AB563843,Asian SEA4,Philippines,2008,2008,,Subic,Zambales,Central Luzon,Region III,,,02/07/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-011,RV/R3.PHL/2008/TRa-011
AB563844,Asian SEA4,Philippines,2008,2008,,Concepcion,Tarlac,Central Luzon,Region III,,,09/07/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-013,RV/R3.PHL/2008/TRa-013
AB563846,Asian SEA4,Philippines,2008,2008,,San Antonio,Zambales,Central Luzon,Region III,,,21/07/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-016,RV/R3.PHL/2008/TRa-016
AB563847,Asian SEA4,Philippines,2008,2008,,San Antonio,Zambales,Central Luzon,Region III,,,28/07/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-018,RV/R3.PHL/2008/TRa-018
AB563848,Asian SEA4,Philippines,2008,2008,,Mabalacat,Pampanga,Central Luzon,Region III,,,28/07/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-019,RV/R3.PHL/2008/TRa-019
AB563849,Asian SEA4,Philippines,2008,2008,,Santa Rita,Pampanga,Central Luzon,Region III,,,28/07/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-020,RV/R3.PHL/2008/TRa-020
AB563850,Asian SEA4,Philippines,2008,2008,,Quezon,Nueva Ecija,Central Luzon,Region III,,,28/07/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-021,RV/R3.PHL/2008/TRa-021
AB563851,Asian SEA4,Philippines,2008,2008,,Mabalacat,Pampanga,Central Luzon,Region III,,,28/07/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-022,RV/R3.PHL/2008/TRa-022
AB563863,Asian SEA4,Philippines,2008,2008,,San Fernando,Pampanga,Central Luzon,Region III,,,04/08/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-038,RV/R3.PHL/2008/TRa-038
AB563864,Asian SEA4,Philippines,2008,2008,,San Felipe,Zambales,Central Luzon,Region III,,,08/08/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-040,RV/R3.PHL/2008/TRa-040
AB563865,Asian SEA4,Philippines,2008,2008,,Moncada,Tarlac,Central Luzon,Region III,,,11/08/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-041,RV/R3.PHL/2008/TRa-041
AB563866,Asian SEA4,Philippines,2008,2008,,,Pampanga,Central Luzon,Region III,,,01/08/2008,710,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-045,RV/R3.PHL/2008/TRa-045
AB563867,Asian SEA4,Philippines,2008,2008,,San Narciso,Zambales,Central Luzon,Region III,,,26/08/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-047,RV/R3.PHL/2008/TRa-047
AB563868,Asian SEA4,Philippines,2008,2008,,San Narciso,Zambales,Central Luzon,Region III,,,27/08/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-048,RV/R3.PHL/2008/TRa-048
AB563869,Asian SEA4,Philippines,2008,2008,,Candaba,Pampanga,Central Luzon,Region III,,,29/08/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-049,RV/R3.PHL/2008/TRa-049
AB563870,Asian SEA4,Philippines,2008,2008,,Magalang,Pampanga,Central Luzon,Region III,,,09/09/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-051,RV/R3.PHL/2008/TRa-051
AB563878,Asian SEA4,Philippines,2008,2008,,Mexico,Pampanga,Central Luzon,Region III,,,10/09/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-059,RV/R3.PHL/2008/TRa-059
AB563879,Asian SEA4,Philippines,2008,2008,,Magalang,Pampanga,Central Luzon,Region III,,,15/09/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-060,RV/R3.PHL/2008/TRa-060
AB563880,Asian SEA4,Philippines,2008,2008,,Mabalacat,Pampanga,Central Luzon,Region III,,,23/09/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-061,RV/R3.PHL/2008/TRa-061
AB563881,Asian SEA4,Philippines,2008,2008,,Licab,Nueva Ecija,Central Luzon,Region III,,,24/09/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-062,RV/R3.PHL/2008/TRa-062
AB563882,Asian SEA4,Philippines,2008,2008,,Rizal,Nueva Ecija,Central Luzon,Region III,,,25/09/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-063,RV/R3.PHL/2008/TRa-063
AB563883,Asian SEA4,Philippines,2008,2008,,Masantol,Pampanga,Central Luzon,Region III,,,29/09/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-064,RV/R3.PHL/2008/TRa-064
AB563884,Asian SEA4,Philippines,2008,2008,,San Jose City,Nueva Ecija,Central Luzon,Region III,15.78462183,120.9975839,10/10/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-065,RV/R3.PHL/2008/TRa-065
AB563885,Asian SEA4,Philippines,2008,2008,,San Simon,Pampanga,Central Luzon,Region III,,,13/10/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-066,RV/R3.PHL/2008/TRa-066
AB563901,Asian SEA4,Philippines,2008,2008,,Candaba,Pampanga,Central Luzon,Region III,,,20/10/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-086,RV/R3.PHL/2008/TRa-086
AB563902,Asian SEA4,Philippines,2008,2008,,Santa Rita,Pampanga,Central Luzon,Region III,,,03/11/2008,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-087,RV/R3.PHL/2008/TRa-087
AB563903,Asian SEA4,Philippines,2008,2008,,Minalin,Pampanga,Central Luzon,Region III,,,04/11/2008,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-088,RV/R3.PHL/2008/TRa-088
AB563904,Asian SEA4,Philippines,2008,2008,,Laur,Nueva Ecija,Central Luzon,Region III,,,10/11/2008,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-089,RV/R3.PHL/2008/TRa-089
AB563905,Asian SEA4,Philippines,2008,2008,,Macabebe,Pampanga,Central Luzon,Region III,,,12/11/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-090,RV/R3.PHL/2008/TRa-090
AB563906,Asian SEA4,Philippines,2008,2008,,San Luis,Pampanga,Central Luzon,Region III,,,19/11/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-091,RV/R3.PHL/2008/TRa-091
AB563907,Asian SEA4,Philippines,2008,2008,,Santa Rita,Pampanga,Central Luzon,Region III,,,25/11/2008,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-092,RV/R3.PHL/2008/TRa-092
AB563908,Asian SEA4,Philippines,2008,2008,,Angeles  ,Pampanga,Central Luzon,Region III,15.14555779,120.5862479,02/12/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-093,RV/R3.PHL/2008/TRa-093
AB563910,Asian SEA4,Philippines,2008,2008,,Laur,Nueva Ecija,Central Luzon,Region III,,,05/12/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-095,RV/R3.PHL/2008/TRa-095
AB563924,Asian SEA4,Philippines,2008,2008,,Mabalacat,Pampanga,Central Luzon,Region III,,,09/12/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-111,RV/R3.PHL/2008/TRa-111
AB563925,Asian SEA4,Philippines,2008,2008,,Castillejos,Pampanga,Central Luzon,Region III,,,17/12/2008,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-112,RV/R3.PHL/2008/TRa-112
AB563926,Asian SEA4,Philippines,2009,2009,,Munoz,Zambales,Central Luzon,Region III,,,05/01/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-113,RV/R3.PHL/2009/TRa-113
AB563927,Asian SEA4,Philippines,2009,2009,,San Marcelino,Zambales,Central Luzon,Region III,,,06/01/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-114,RV/R3.PHL/2009/TRa-114
AB563928,Asian SEA4,Philippines,2009,2009,,Santa Ana,Pampanga,Central Luzon,Region III,,,29/01/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-115,RV/R3.PHL/2009/TRa-115
AB563929,Asian SEA4,Philippines,2009,2009,,San Felipe,Zambales,Central Luzon,Region III,,,14/01/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-116,RV/R3.PHL/2009/TRa-116
AB563930,Asian SEA4,Philippines,2009,2009,,Candaba,Pampanga,Central Luzon,Region III,,,19/01/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-117,RV/R3.PHL/2009/TRa-117
AB563931,Asian SEA4,Philippines,2009,2009,,San Luis,Pampanga,Central Luzon,Region III,,,26/01/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-118,RV/R3.PHL/2009/TRa-118
AB563932,Asian SEA4,Philippines,2008,2008,,,Zambales,Central Luzon,Region III,,,01/12/2008,743,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-119,RV/R3.PHL/2008/TRa-119
AB563937,Asian SEA4,Philippines,2009,2009,,Masantol,Pampanga,Central Luzon,Region III,,,02/02/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-127,RV/R3.PHL/2009/TRa-127
AB563938,Asian SEA4,Philippines,2009,2009,,Palayan,Nueva Ecija,Central Luzon,Region III,,,02/02/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-128,RV/R3.PHL/2009/TRa-128
AB563939,Asian SEA4,Philippines,2009,2009,,San Luis,Pampanga,Central Luzon,Region III,,,01/02/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-129,RV/R3.PHL/2009/TRa-129
AB563940,Asian SEA4,Philippines,2009,2009,,Angeles  ,Pampanga,Central Luzon,Region III,15.14555779,120.5862479,13/02/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-130,RV/R3.PHL/2009/TRa-130
AB563941,Asian SEA4,Philippines,2009,2009,,,Pampanga,Central Luzon,Region III,,,01/02/2009,805,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-131,RV/R3.PHL/2009/TRa-131
AB563942,Asian SEA4,Philippines,2009,2009,,Santo Tomas,Pampanga,Central Luzon,Region III,,,23/02/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-133,RV/R3.PHL/2009/TRa-133
AB563943,Asian SEA4,Philippines,2009,2009,,Pantabangan,Nueva Ecija,Central Luzon,Region III,,,26/02/2009,1575,03-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-134,RV/R3.PHL/2009/TRa-134
AB563944,Asian SEA4,Philippines,2009,2009,,Santa Ana,Pampanga,Central Luzon,Region III,,,05/03/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-135,RV/R3.PHL/2009/TRa-135
AB563945,Asian SEA4,Philippines,2009,2009,,San Antonio,Nueva Ecija,Central Luzon,Region III,,,29/03/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-136,RV/R3.PHL/2009/TRa-136
AB563976,Asian SEA4,Philippines,2009,2009,,San Leonardo,Nueva Ecija,Central Luzon,Region III,,,12/05/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-201,RV/R3.PHL/2009/TRa-201
AB563977,Asian SEA4,Philippines,2009,2009,,Masinloc,Zambales,Central Luzon,Region III,,,13/05/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-202,RV/R3.PHL/2009/TRa-202
AB563978,Asian SEA4,Philippines,2009,2009,,San Luis,Pampanga,Central Luzon,Region III,,,22/05/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-204,RV/R3.PHL/2009/TRa-204
AB563979,Asian SEA4,Philippines,2009,2009,,San Jose City,Nueva Ecija,Central Luzon,Region III,15.78462183,120.9975839,25/05/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-205,RV/R3.PHL/2009/TRa-205
AB563980,Asian SEA4,Philippines,2009,2009,,Porac,Pampanga,Central Luzon,Region III,,,07/07/2009,1575,03-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-206,RV/R3.PHL/2009/TRa-206
AB683585,Asian SEA4,Philippines,2008,2008,,Mexico,Pampanga,Central Luzon,Region III,,,23/07/2008,1575,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R3.PHL/2008/TRa-017,RV/R3.PHL/2008/TRa-017
AB683623,Asian SEA4,Philippines,2009,2009,,,Nueva Ecija,Central Luzon,Region III,,,20/02/2009,1124,03-Apr-13,29-May-13,Canis lupus familiaris,23593515,RV/R3.PHL/2009/TRa-132,RV/R3.PHL/2009/TRa-132
LC018482,Asian SEA4,Philippines,2012,2012,,Capas,Tarlac,Central Luzon,Region III,,,16/02/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-302,RV/R3.PHL/2012/TRa-302
LC018483,Asian SEA4,Philippines,2012,2012,,Hagonoy,Bulacan,Central Luzon,Region III,,,23/04/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-303,RV/R3.PHL/2012/TRa-303
LC018484,Asian SEA4,Philippines,2012,2012,,Candaba,Pampanga,Central Luzon,Region III,,,25/04/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-305,RV/R3.PHL/2012/TRa-305
LC018485,Asian SEA4,Philippines,2012,2012,,Guimba,Nueva Ecija,Central Luzon,Region III,,,15/05/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-306,RV/R3.PHL/2012/TRa-306
LC018486,Asian SEA4,Philippines,2012,2012,,Bamban,Tarlac,Central Luzon,Region III,,,22/05/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-307,RV/R3.PHL/2012/TRa-307
LC018487,Asian SEA4,Philippines,2012,2012,,Santa Maria,Bulacan,Central Luzon,Region III,,,07/06/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-308,RV/R3.PHL/2012/TRa-308
LC018488,Asian SEA4,Philippines,2012,2012,,Capas,Tarlac,Central Luzon,Region III,,,09/07/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-309,RV/R3.PHL/2012/TRa-309
LC018489,Asian SEA4,Philippines,2012,2012,,Santa Maria,Bulacan,Central Luzon,Region III,,,26/07/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-310,RV/R3.PHL/2012/TRa-310
LC018491,Asian SEA4,Philippines,2012,2012,,Zaragosa,Nueva Ecija,Central Luzon,Region III,,,30/07/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-312,RV/R3.PHL/2012/TRa-312
LC018492,Asian SEA4,Philippines,2012,2012,,Hagonoy,Bulacan,Central Luzon,Region III,,,18/09/2012,1575,22-Dec-15,22-Dec-15,Canis lupus familiaris,26656835,RV/R3.PHL/2012/TRa-313,RV/R3.PHL/2012/TRa-313
